AZ;Z I;Z II;S I;S II;OR I;OR II;WPF;Dur
1014/17;8,00;10,00;11,00;15,00;10,00;14,00;9,00;11,00
1039/17;8,00;11,00;13,00;7,00;12,00;11,00;13,00;10,71
1055/17;11,00;11,00;10,00;16,00;6,00;8,00;13,00;10,71
1097/17;15,00;6,00;7,00;16,00;6,00;8,00;13,00;10,14
0983/17;10,00;7,00;8,00;11,00;13,00;10,00;11,00;10,00
1008/17;6,00;14,00;9,00;10,00;11,00;7,00;13,00;10,00
0927/17;7,00;9,00;10,00;13,00;9,00;9,00;12,50;9,92
0906/17;12,00;10,00;11,00;6,00;7,00;9,00;11,00;9,42
0939/17;13,00;8,00;11,00;9,00;11,00;5,00;9,00;9,42
0945/17;11,00;6,00;8,00;8,00;10,00;13,00;10,00;9,42
0998/17;12,00;8,00;9,00;12,00;7,00;9,00;9,00;9,42
1025/17;13,00;11,00;7,00;9,00;10,00;5,00;11,00;9,42
1029/17;6,00;14,00;10,00;5,00;10,00;7,00;14,00;9,42
0969/17;11,00;8,00;11,00;13,00;9,00;6,00;7,00;9,28
0955/17;9,00;10,00;7,00;8,00;14,00;8,00;8,00;9,14
0920/17;7,00;14,00;10,00;7,00;11,00;8,00;6,00;9,00
0929/17;14,00;7,00;7,00;10,00;14,00;5,00;6,00;9,00
0934/17;13,00;8,00;6,00;11,00;5,00;10,00;10,00;9,00
0940/17;10,00;9,00;12,00;12,00;8,00;5,00;7,00;9,00
0997/17;10,00;8,00;10,00;9,00;9,00;6,00;11,00;9,00
0909/17;8,00;6,00;10,00;13,00;8,00;11,00;6,00;8,85
1050/17;10,00;6,00;8,00;14,00;6,00;8,00;10,00;8,85
1159/17;8,00;6,00;9,00;8,00;11,00;7,00;13,00;8,85
0450/16;9,00;8,50;10,00;9,00;6,00;10,00;9,00;8,78
0918/17;11,00;5,00;6,00;12,00;12,00;8,00;7,00;8,71
0914/17;9,00;8,00;7,00;7,00;8,00;9,00;12,00;8,57
1004/17;10,00;8,00;12,00;10,00;7,00;3,00;10,00;8,57
1007/17;4,00;7,00;15,00;9,00;12,00;6,00;7,00;8,57
1010/17;6,00;8,00;9,00;11,00;10,00;8,00;8,00;8,57
1011/17;7,00;11,00;10,00;4,00;11,00;9,00;8,00;8,57
1073/17;7,00;13,00;10,00;5,00;6,00;7,00;12,00;8,57
1111/17;10,00;8,00;10,00;5,00;8,00;11,00;8,00;8,57
0935/17;8,00;7,00;10,00;7,00;13,00;5,00;9,00;8,42
0991/17;9,00;6,00;9,00;12,00;7,00;8,00;8,00;8,42
0921/17;8,00;5,00;12,00;7,00;9,00;6,00;11,00;8,28
0958/17;12,00;4,00;8,00;7,00;12,00;7,00;8,00;8,28
0977/17;8,00;11,00;10,00;5,00;3,00;11,00;10,00;8,28
0978/17;8,00;10,00;8,00;8,00;11,00;4,00;9,00;8,28
1047/17;11,00;12,00;4,00;4,00;6,00;12,00;9,00;8,28
1059/17;9,00;12,00;7,00;7,00;7,00;5,00;11,00;8,28
0924/17;6,00;9,00;3,00;10,00;11,00;9,00;9,00;8,14
0990/17;10,00;11,00;8,00;6,00;9,00;5,00;8,00;8,14
0996/17;6,00;5,00;11,00;10,00;7,00;9,00;9,00;8,14
1033/17;13,00;6,00;5,00;8,00;5,00;11,00;9,00;8,14
0933/17;8,00;5,00;7,00;7,00;10,00;11,00;8,00;8,00
0972/17;10,00;8,00;8,00;6,00;10,00;7,00;7,00;8,00
1009/17;6,00;7,00;12,00;10,00;9,00;6,00;6,00;8,00
1018/17;8,00;9,00;8,00;9,00;7,00;8,00;7,00;8,00
1051/17;10,00;5,00;9,00;6,00;10,00;8,00;8,00;8,00
0956/17;8,00;6,00;4,00;8,00;10,00;9,00;10,00;7,85
0962/17;9,00;11,00;9,00;7,00;5,00;6,00;8,00;7,85
1156/17;12,00;5,00;9,00;12,00;3,00;9,00;5,00;7,85
0957/17;8,00;10,00;14,00;10,00;2,00;4,00;6,00;7,71
1044/17;6,00;6,00;9,00;8,00;8,00;9,00;8,00;7,71
0941/17;9,00;7,00;8,00;3,00;7,00;11,00;8,00;7,57
0985/17;7,00;8,00;10,00;6,00;10,00;7,00;5,00;7,57
0995/17;10,00;9,00;8,00;7,00;6,00;6,00;7,00;7,57
1054/17;10,00;9,00;10,00;6,00;9,00;5,00;4,00;7,57
0643/17;7,00;12,00;7,00;4,00;6,00;8,00;8,00;7,42
0937/17;11,00;6,00;8,00;7,00;8,00;5,00;7,00;7,42
0993/17;7,00;5,00;6,00;4,00;11,00;10,00;9,00;7,42
1061/17;9,00;5,00;4,00;7,00;9,00;8,00;10,00;7,42
1101/17;7,00;4,00;12,00;7,00;5,00;9,00;8,00;7,42
1003/17;7,00;5,00;10,00;12,00;9,00;4,00;4,00;7,28
1015/17;13,00;8,00;7,00;6,00;5,00;4,00;8,00;7,28
1038/17;7,00;6,00;9,00;9,00;5,00;7,00;8,00;7,28
1057/17;9,00;6,00;5,00;5,00;9,00;9,00;8,00;7,28
1093/17;5,00;6,00;9,00;8,00;5,00;5,00;13,00;7,28
0917/17;6,00;8,00;10,00;5,00;8,00;3,00;10,00;7,14
0947/17;5,00;7,00;8,00;8,00;6,00;7,00;9,00;7,14
0973/17;5,00;5,00;8,00;7,00;12,00;7,00;6,00;7,14
1023/17;7,00;10,00;7,00;10,00;7,00;4,00;5,00;7,14
1042/17;8,00;6,00;5,00;3,00;10,00;8,00;9,50;7,07
1102/17;6,00;6,00;7,00;7,00;6,00;7,00;10,50;7,07
0907/17;7,00;6,00;9,00;7,00;7,00;6,00;7,00;7,00
0930/17;9,00;9,00;6,00;7,00;8,00;8,00;2,00;7,00
0984/17;6,00;6,00;6,00;9,00;10,00;4,00;8,00;7,00
1017/17;9,00;7,00;7,00;6,00;8,00;4,00;8,00;7,00
1084/17;11,00;14,00;5,00;2,00;2,00;7,00;8,00;7,00
1167/17;8,00;5,00;4,00;7,00;8,00;8,00;9,00;7,00
0063/17;9,00;8,00;4,00;5,00;7,00;10,00;5,00;6,85
0911/17;11,00;5,00;4,00;6,00;8,00;8,00;6,00;6,85
1160/17;9,00;11,00;5,00;6,00;4,00;4,00;9,00;6,85
1060/17;9,00;9,00;6,00;3,00;8,00;5,00;7,50;6,78
1086/17;4,50;7,00;11,00;5,00;8,00;8,00;4,00;6,78
1166/17;13,00;8,00;3,00;7,00;4,00;6,00;6,50;6,78
0919/17;6,00;7,00;7,00;8,00;6,00;6,00;7,00;6,71
0926/17;6,00;4,00;9,00;7,00;3,00;8,00;10,00;6,71
0951/17;8,00;8,00;4,00;3,00;11,00;4,00;9,00;6,71
0994/17;9,00;7,00;5,00;4,00;5,00;9,00;8,00;6,71
1016/17;7,00;2,00;7,00;11,00;5,00;10,00;5,00;6,71
