AZ;Z_I;Z_II;S_I;S_II;ÖR_I;ÖR_II;WPF;Dur
0874/17;7,00;7,00;7,00;4,00;5,00;6,00;10,00;6,57
0959/17;3,00;6,00;2,00;4,00;2,00;4,00;2,00;3,28
0968/17;1,00;3,00;4,00;2,00;3,00;8,00;6,00;3,85
1001/17;3,00;3,00;4,00;2,00;2,00;2,00;2,00;2,57
1012/17;3,00;4,00;2,00;2,00;3,00;2,00;5,00;3,00
1058/17;6,00;10,00;6,00;5,00;7,00;5,00;7,00;6,57
1064/17;2,00;3,00;2,00;6,00;3,00;3,00;5,00;3,42
1067/17;2,00;6,00;5,00;5,00;2,00;4,00;1,00;3,57
1103/17;3,00;7,00;5,00;3,00;8,00;8,00;1,00;5,00
0001/18;5,00;5,00;3,00;4,00;4,00;5,00;5,00;4,42
0002/18;3,00;2,00;2,00;4,00;7,00;6,00;7,00;4,42
0003/18;6,00;5,00;2,00;4,00;3,00;5,00;8,00;4,71
0004/18;8,00;12,00;9,00;12,00;10,00;11,00;9,00;10,14
0005/18;4,00;7,00;2,00;4,00;4,00;7,00;3,00;4,42
0006/18;7,00;11,00;9,00;9,00;6,00;8,00;9,00;8,42
0007/18;11,00;11,00;10,00;5,00;9,00;5,00;8,00;8,42
0008/18;4,00;5,00;3,00;6,00;4,00;6,00;4,00;4,57
0010/18;7,00;12,00;7,00;4,00;7,00;13,00;8,00;8,28
0011/18;5,00;3,00;6,00;6,00;2,00;5,00;4,00;4,42
0012/18;4,00;6,00;4,00;4,00;2,00;6,00;3,00;4,14
0013/18;5,00;2,00;6,00;6,00;4,00;5,00;4,00;4,57
0014/18;6,00;4,00;8,00;6,00;14,00;8,00;6,00;7,42
0015/18;3,00;2,00;7,00;4,00;5,00;6,00;4,00;4,42
0016/18;4,00;8,00;4,00;8,00;5,00;6,00;3,00;5,42
0017/18;4,00;6,00;6,00;5,00;3,00;4,00;2,00;4,28
0018/18;5,00;5,00;6,00;4,00;9,00;3,00;6,00;5,42
0020/18;9,00;4,00;7,00;7,00;4,00;4,00;5,00;5,71
0021/18;7,00;3,00;4,00;3,00;7,00;3,00;5,00;4,57
0022/18;5,00;5,00;4,00;7,00;8,00;7,00;3,00;5,57
0023/18;4,00;5,00;6,00;10,00;6,00;6,00;8,00;6,42
0024/18;4,00;6,00;3,00;4,00;8,00;3,00;3,00;4,42
0026/18;7,00;13,00;4,00;7,00;7,00;3,00;10,00;7,28
0027/18;3,00;7,00;5,00;4,00;4,00;4,00;5,00;4,57
0028/18;2,00;3,00;3,00;5,00;3,00;5,00;2,00;3,28
0029/18;8,00;4,00;5,00;4,00;9,00;5,00;6,00;5,85
0030/18;4,00;4,00;3,00;2,00;2,00;7,00;3,00;3,57
0031/18;3,00;6,00;6,00;3,00;4,00;6,00;6,00;4,85
